127.0.0.1 - - [20/Jan/2022:09:37:38 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:37:39 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:37:39 +0700] "GET /TestTailwindCSS/index.css HTTP/1.1" 200 8260
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:37:39 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:38:33 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:38:33 +0700] "GET /TestTailwindCSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:38:46 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:39:02 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:39:03 +0700] "GET /TestTailwindCSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:39:11 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:39:33 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:39:33 +0700] "GET /TestTailwindCSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:44:29 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:44:34 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [20/Jan/2022:09:44:34 +0700] "GET /TestTailwindCSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:40:19 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:40:43 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:40:43 +0700] "GET /TestTailwindCSS/index.css HTTP/1.1" 200 4009501
0:0:0:0:0:0:0:1 - - [20/Jan/2022:11:38:32 +0700] "GET /TestTailwindCSS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:11:38:32 +0700] "GET /TestTailwindCSS/index.css HTTP/1.1" 304 -
